Route,Stops (via)
374-M NMG-LKH,Byregowdanahalli -> Hullegowdanahalli Cross -> Lakkenahalli Village Sondekoppa
258-U NMG-GRNB,Byregowdanahalli -> Hullegowdanahalli Cross -> Kakkepalya Nelamangala -> Kondappanahalli
245-H,Agrahara Dasarahalli -> Anjananagara -> Arathipalya -> Averahalli Ravuttanahalli -> Bettahalli Vaddarahalli -> Binny Mill -> Byadarahalli College Cross -> Byadarahalli Magadi Road -> Chamarajapet Water Tank -> Chamundinagara Kittanahalli -> Chikka Gollarahatti -> Forest Gate -> Gollarahatti -> Herohalli Cross -> Hullegowdanahalli -> KR Market -> Kachohalli Gate -> Kadabagere -> Kadabagere Cross -> Kamakshipalya -> Karekalpalya -> Kenganahalli -> Kittanahalli -> Kottigepalya -> Machohalli Gate -> Magadi Road Hunasemara -> Mallapura Nelamangala -> Mutturayanaswamy Temple Kadabagere Cross -> Prasanna Theatre -> Ravuthanahalli -> Rayan Circle Tippu Sultan Road -> Shanthinagara Ravuthanahalli -> Sirsi Circle -> Summanahalli -> Sunkadakatte
245-H MRTG-NML,Agrahara Dasarahalli -> Anjananagara -> Arathipalya -> Averahalli Ravuttanahalli -> Bettahalli Vaddarahalli -> Byadarahalli College Cross -> Byadarahalli Magadi Road -> Chamundinagara Kittanahalli -> Chikka Gollarahatti -> Forest Gate -> Gollarahatti -> Herohalli Cross -> Hullegowdanahalli -> Kachohalli Gate -> Kadabagere -> Kadabagere Cross -> Kamakshipalya -> Karekalpalya -> Kenganahalli -> Kittanahalli -> Kottigepalya -> Machohalli Gate -> Mallapura Nelamangala -> Mutturayanaswamy Temple Kadabagere Cross -> Ravuthanahalli -> Shanthinagara Ravuthanahalli -> Summanahalli -> Sunkadakatte
258-F,Adakimaranahalli -> Arishinakunte -> CMTI -> Chikkabidarakallu -> Dasanapura -> Deepak Factory -> Devannanapalya -> Goraguntepalya -> Govardhan Talkies -> Hullegowdanahalli -> Jalahalli Cross -> Jindal -> Karekalpalya -> Kempegowda Bus Station -> Kenganahalli -> MEI Factory -> Madanayakanahalli -> Madavara -> Makali -> Malleshwaram 11th Cross -> Malleshwaram 15th Cross -> Malleshwaram 8th Cross -> Malleshwaram Circle -> RMC Yard -> SRS Peenya -> Shivanapura -> T Dasarahalli -> Tata Institute -> Vishwa Shanti Ashrama Nelamangala -> Widia Factory
258-F KMT-SVP,Adakimaranahalli -> Akkithimmanahalli -> Ananda Rao Circle -> Arishinakunte -> Austin Town -> CMTI -> Chikkabidarakallu -> Corporation -> Dasanapura -> Deepak Factory -> Devannanapalya -> Elgin Floor Mill -> Goraguntepalya -> Govardhan Talkies -> Hullegowdanahalli -> Jalahalli Cross -> Jindal -> Johnson Market -> KR Circle -> KR Market -> Karekalpalya -> Kempegowda Bus Station -> Kenganahalli -> MEI Factory -> Madanayakanahalli -> Madavara -> Maharanis College -> Makali -> Malleshwaram 11th Cross -> Malleshwaram 15th Cross -> Malleshwaram 8th Cross -> Malleshwaram Circle -> Mysore Bank -> Nanjappa Circle Langford Road -> Neelasandra Bus Stand -> Philomenas Hospital -> RMC Yard -> SRS Peenya -> Shivanapura -> Subbaiah Circle -> T Dasarahalli -> Tata Institute -> Town Hall -> Vishwa Shanti Ashrama Nelamangala -> Widia Factory
245-H NML-D35G,Arathipalya -> Hullegowdanahalli -> Kadabagere -> Kadabagere Cross -> Karekalpalya -> Kenganahalli -> Kenganahalli Cross -> Kittanahalli -> Raghavendra Layout Kadabagere -> Ravuthanahalli -> Seegehalli Gate
258-F ASK-SVP,Arishinakunte -> Hullegowdanahalli -> Karekalpalya -> Kenganahalli -> Shivanapura -> Vishwa Shanti Ashrama Nelamangala
242-JK,Agrahara Dasarahalli -> Anjananagara -> Binny Mill -> Binnypet -> Byadarahalli College Cross -> Byadarahalli Magadi Road -> Chamarajapet Water Tank -> Channadasipalya -> Channenahalli -> Channenahalli Arch -> Chikka Gollarahatti -> Forest Gate -> Gollarahatti -> Hamsa Farm -> Herohalli Cross -> Honaganahatti -> Jodi Aladamara Puradapalya -> KR Market -> Kachohalli Gate -> Kadabagere Cross -> Kamakshipalya -> Karekalpalya -> Karekalpalya Puradapalya -> Kottigepalya -> Lakkuppe -> Machohalli Gate -> Magadi Road Hunasemara -> Peddanapalya Cross -> Prasanna Theatre -> Puradapalya -> Rayan Circle Tippu Sultan Road -> Seegehalli Gate -> Sirsi Circle -> Summanahalli -> Sunkadakatte -> Tavarekere
D35G-KKP,Channadasipalya -> Channenahalli -> Honaganahatti -> Jodi Aladamara Puradapalya -> Karekalpalya -> Karekalpalya Puradapalya -> Lakkuppe -> Peddanapalya Cross -> Puradapalya -> Seegehalli Gate -> Tavarekere
256 KBS-SVNC,Adakimaranahalli -> Ananda Rao Circle -> Arishinakunte -> CMTI -> Chikkabidarakallu -> Dasanapura -> Deepak Factory -> Devannanapalya -> Goraguntepalya -> Govardhan Talkies -> Jalahalli Cross -> Jindal -> Kempammadevinagara -> Kempegowda Bus Station -> MEI Factory -> Madanayakanahalli -> Madavara -> Makali -> Malleshwaram 11th Cross -> Malleshwaram 15th Cross -> Malleshwaram 8th Cross -> Malleshwaram Circle -> RMC Yard -> SRS Peenya -> Shivanapura -> T Dasarahalli -> Tata Institute -> Thimmabhovipalya Shivanapura -> Veeraiah Enclave Arishinakunte -> Widia Factory
258-A,Adakimaranahalli -> Ananda Rao Circle -> Arishinakunte -> Bommanahalli -> CMTI -> Chikkabidarakallu -> Corporation -> Dasanapura -> Deepak Factory -> Devannanapalya -> Goraguntepalya -> Govardhan Talkies -> Jalahalli Cross -> Jindal -> KR Market -> Kempegowda Bus Station -> MEI Factory -> Madanayakanahalli -> Madavara -> Makali -> Malleshwaram 11th Cross -> Malleshwaram 15th Cross -> Malleshwaram 8th Cross -> Malleshwaram Circle -> Mysore Bank -> Papabhovipalya -> RMC Yard -> SRS Peenya -> T Dasarahalli -> Tata Institute -> Town Hall -> Vishwa Shanti Ashrama Nelamangala -> Widia Factory
258-A KBS-MNH,Adakimaranahalli -> Ananda Rao Circle -> Arishinakunte -> Bommanahalli -> CMTI -> Chikkabidarakallu -> Dasanapura -> Deepak Factory -> Devannanapalya -> Goraguntepalya -> Govardhan Talkies -> Jalahalli Cross -> Jindal -> Kempegowda Bus Station -> MEI Factory -> Madanayakanahalli -> Madavara -> Makali -> Malleshwaram 11th Cross -> Malleshwaram 15th Cross -> Malleshwaram 8th Cross -> Malleshwaram Circle -> Papabhovipalya -> RMC Yard -> SRS Peenya -> T Dasarahalli -> Tata Institute -> Vishwa Shanti Ashrama Nelamangala -> Widia Factory
256-K BMT43-SVP,Shivanapura -> Thimmabhovipalya Shivanapura
258 KMT-BTG,Adakimaranahalli -> Ananda Rao Circle -> Arishinakunte -> Bettanagere Nelamangala -> CMTI -> Chikkabidarakallu -> Corporation -> Dasanapura -> Deepak Factory -> Devannanapalya -> Goraguntepalya -> Govardhan Talkies -> Jalahalli Cross -> Jindal -> KR Market -> Kempegowda Bus Station -> MEI Factory -> Madanayakanahalli -> Madavara -> Makali -> Malleshwaram 11th Cross -> Malleshwaram 15th Cross -> Malleshwaram 8th Cross -> Malleshwaram Circle -> Mysore Bank -> RMC Yard -> SRS Peenya -> T Dasarahalli -> Tata Institute -> Town Hall -> Vishwa Shanti Ashrama Nelamangala -> Widia Factory
