Route,Stops (via)
251-E,Binny Mill -> Binnypet -> KR Market -> Kanteerava Studio -> Laggere Aladamara -> Laggere Cross -> Laggere MEI Colony -> Laggere New Bus Stand -> Laggere Parvathinagara -> Magadi Road Hunasemara -> Mahalakshmi Layout -> Mahalakshmi Layout Entrance -> Minerva Mill -> Navarang Theatre -> Rajajinagara 2nd Block -> Rajajinagara Entrance Link Road -> Ramanjaneya Temple Kanteerava Studio -> Shankaranagara Mahalakshmi Layout -> Sirsi Circle -> Sonal Garments Laggere Cross
AS-12,8th Mile Dasarahalli -> Bagalagunte -> Bone Mill -> Chikka Banavara -> Jalahalli Cross -> Laggere Cross -> Laggere New Bus Stand -> Systems Peenya -> T Dasarahalli -> TVS Cross Peenya -> Widia School 8th Mile
V-KBS-MEICL,Basaveshwara College Rajajinagara -> Bhashyam Circle Rajajinagara -> Kanteerava Studio -> Kempegowda Bus Station -> Laggere Cross -> Laggere MEI Colony -> Mahalakshmi Layout -> Mahalakshmi Layout Entrance -> Mahalakshmi Layout Ganesha Temple -> Navarang Theatre -> Okalipura -> Rajajinagara Entrance Link Road -> Ramanjaneya Temple Kanteerava Studio -> Shankaranagara Mahalakshmi Layout -> Sonal Garments Laggere Cross
MF-28,Brundavana Peenya 2nd Stage -> Laggere Cross -> NTTF Peenya -> Peenya 14th Cross -> Peenya 2nd stage -> Peenya ESI Hospital -> Peenya Rolling Mill -> SRS Peenya -> Sonal Garments Laggere Cross -> Systems Peenya -> TVS Cross Peenya
YTTMC-LGC-PSS,Brundavana Peenya 2nd Stage -> Goraguntepalya -> Goraguntepalya Reliance Petrol Bunk -> Govardhan Talkies -> Kanteerava Studio -> Laggere Cross -> MEI Factory -> Modern Food Goraguntepalya -> NTTF Peenya -> Peenya 14th Cross -> Peenya 2nd stage -> Peenya Rolling Mill -> RMC Yard -> Ramanjaneya Temple Kanteerava Studio -> Sonal Garments Laggere Cross -> TVS Cross Peenya
SMS-1,Goraguntepalya -> Govardhan Talkies -> Kanteerava Studio -> Laggere Cross -> Rajagopalanagara Police Station
SMS-2A,Goraguntepalya -> Govardhan Talkies -> Kanteerava Studio -> Laggere Cross -> Rajagopalanagara Police Station
252-F,Basaveshwara College Rajajinagara -> Bhashyam Circle Rajajinagara -> Brundavana Peenya 2nd Stage -> Kanteerava Studio -> Kempegowda Bus Station -> Laggere Cross -> Mahalakshmi Layout -> Mahalakshmi Layout Entrance -> Mahalakshmi Layout Ganesha Temple -> NTTF Peenya -> Navarang Theatre -> Okalipura -> Peenya 14th Cross -> Peenya Rolling Mill -> Rajajinagara Entrance Link Road -> Ramanjaneya Temple Kanteerava Studio -> Shankaranagara Mahalakshmi Layout -> Sonal Garments Laggere Cross -> TVS Cross Peenya
LGR-RPS-PSS,CS-Outdoor Clothing Company -> Laggere Cross -> Laggere New Bus Stand -> Peenya 2nd stage
252-H,Basaveshwara College Rajajinagara -> Bhashyam Circle Rajajinagara -> Kanteerava Studio -> Kempegowda Bus Station -> Laggere Aladamara -> Laggere Cross -> Laggere MEI Colony -> Laggere New Bus Stand -> Laggere Parvathinagara -> Mahalakshmi Layout -> Mahalakshmi Layout Entrance -> Mahalakshmi Layout Ganesha Temple -> Navarang Theatre -> Okalipura -> Rajajinagara Entrance Link Road -> Ramanjaneya Temple Kanteerava Studio -> Shankaranagara Mahalakshmi Layout -> Sonal Garments Laggere Cross
CS-BGT-BMTC,Bagalagunte -> Corporation -> Jalahalli Cross -> Laggere Cross -> Nandini Layout Bus Stand -> Rajajinagara 1st Block
KMT-VLO,Basaveshwara College Rajajinagara -> Bhashyam Circle Rajajinagara -> Binny Mill -> Binnypet -> Chamarajapet Water Tank -> KR Market -> Lakshmidevi Nagara -> Magadi Road Hunasemara -> Mahalakshmi Layout Entrance -> Nandini Layout Bus Stand -> Navarang Theatre -> Prasanna Theatre -> Rajajinagara 2nd Block -> Rayan Circle Tippu Sultan Road -> Saraswathipuram -> Sirsi Circle -> Vidhana Soudha Layout Laggere
98-F,Goraguntepalya -> Goraguntepalya Reliance Petrol Bunk -> Govardhan Talkies -> Kanteerava Studio -> Kempegowda Bus Station -> Lakshmidevi Nagara -> MEI Factory -> Malleshwaram 11th Cross -> Malleshwaram 15th Cross -> Malleshwaram 8th Cross -> Malleshwaram Circle -> Modern Food Goraguntepalya -> RMC Yard -> Ramanjaneya Temple Kanteerava Studio -> Sanjay Gandhi Nagara Laggere -> Tata Institute -> Vidhana Soudha Layout Laggere
77-A,Basaveshwara College Rajajinagara -> Bhashyam Circle Rajajinagara -> Binny Mill -> Binnypet -> Chamarajapet Water Tank -> KR Market -> Kanteerava Studio -> Lakshmidevi Nagara -> Magadi Road Hunasemara -> Mahalakshmi Layout -> Mahalakshmi Layout Entrance -> Mahalakshmi Layout Ganesha Temple -> Navarang Theatre -> Prasanna Theatre -> Rajajinagara 2nd Block -> Ramanjaneya Temple Kanteerava Studio -> Rayan Circle Tippu Sultan Road -> Sanjay Gandhi Nagara Laggere -> Shankaranagara Mahalakshmi Layout -> Sirsi Circle
98-E,Ananda Rao Circle -> Goraguntepalya -> Goraguntepalya Reliance Petrol Bunk -> Govardhan Talkies -> Kanteerava Studio -> Kempegowda Bus Station -> Lakshmidevi Nagara -> MEI Factory -> Malleshwaram 11th Cross -> Malleshwaram 15th Cross -> Malleshwaram 8th Cross -> Malleshwaram Circle -> Modern Food Goraguntepalya -> RMC Yard -> Ramanjaneya Temple Kanteerava Studio -> Sanjay Gandhi Nagara Laggere -> Tata Institute
YTTMC-VSL,Goraguntepalya -> Goraguntepalya Reliance Petrol Bunk -> Govardhan Talkies -> Kanteerava Studio -> Lakshmidevi Nagara -> MEI Factory -> Modern Food Goraguntepalya -> RMC Yard -> Ramanjaneya Temple Kanteerava Studio -> Sanjay Gandhi Nagara Laggere -> Vidhana Soudha Layout Laggere
77A KBS-LDN,Basaveshwara College Rajajinagara -> Bhashyam Circle Rajajinagara -> Kanteerava Studio -> Kempegowda Bus Station -> Lakshmidevi Nagara -> Mahalakshmi Layout -> Mahalakshmi Layout Entrance -> Mahalakshmi Layout Ganesha Temple -> Navarang Theatre -> Okalipura -> Rajajinagara 2nd Block -> Rajajinagara Entrance Link Road -> Ramanjaneya Temple Kanteerava Studio -> Sanjay Gandhi Nagara Laggere -> Shankaranagara Mahalakshmi Layout
80-G KBS-LGR,Basaveshwara College Rajajinagara -> Bhashyam Circle Rajajinagara -> Kanteerava Studio -> Kempegowda Bus Station -> Laggere New Bus Stand -> Mahalakshmi Layout -> Mahalakshmi Layout Entrance -> Mahalakshmi Layout Ganesha Temple -> Nandini Layout Outer Ring Road -> Navarang Theatre -> Okalipura -> Rajajinagara 2nd Block -> Rajajinagara Entrance Link Road -> Rajkumar Punya Bhoomi -> Shankaranagara Mahalakshmi Layout
80-G KMT-LGR,Basaveshwara College Rajajinagara -> Bhashyam Circle Rajajinagara -> Corporation -> KR Market -> Kanteerava Studio -> Kempegowda Bus Station -> Laggere New Bus Stand -> Mahalakshmi Layout -> Mahalakshmi Layout Entrance -> Mahalakshmi Layout Ganesha Temple -> Mysore Bank -> Nandini Layout Outer Ring Road -> Navarang Theatre -> Okalipura -> Rajajinagara 2nd Block -> Rajajinagara Entrance Link Road -> Rajkumar Punya Bhoomi -> Shankaranagara Mahalakshmi Layout -> Town Hall
YPR-GGP-LGR,Goraguntepalya -> Goraguntepalya Reliance Petrol Bunk -> Govardhan Talkies -> Kanteerava Studio -> Laggere New Bus Stand -> MEI Factory -> Modern Food Goraguntepalya -> Nandini Layout Outer Ring Road -> RMC Yard -> Rajkumar Punya Bhoomi
80-K,Basaveshwara College Rajajinagara -> Bhashyam Circle Rajajinagara -> Jai Maruthinagara -> Kempegowda Bus Station -> Mahalakshmi Layout Entrance -> Mahalakshmi Layout Ganesha Temple -> Nandini Layout Bus Stand -> Navarang Theatre -> Okalipura -> Rajajinagara Entrance Link Road -> Sakamma Layout -> Saraswathipuram
CVB-CKB,8th Mile Dasarahalli -> Ananda Rao Circle -> Bagalagunte -> Bone Mill -> CMTI -> Chikka Banavara -> Goraguntepalya -> Govardhan Talkies -> Jalahalli Cross -> Kempegowda Bus Station -> MEI Factory -> Malleshwaram 11th Cross -> Malleshwaram 15th Cross -> Malleshwaram 8th Cross -> Malleshwaram Circle -> RMC Yard -> SRS Peenya -> T Dasarahalli -> Tata Institute -> Widia School 8th Mile
PSS-JHQI,ISRO Quarters Jalahalli -> Jalahalli Cross -> NTTF Peenya -> SRS Peenya -> Systems Peenya -> TVS Cross Peenya
PSS-ISROQ,ISRO Quarters Jalahalli -> NTTF Peenya -> SRS Peenya -> TVS Cross Peenya
PSS-BHELESD,Bengaluru Dairy Circle -> Bommanahalli -> CMTI -> Central Rajiv Gandhi Circle -> Corporation -> Electronic City -> Govardhan Talkies -> Hosa Road -> Jalahalli Cross -> Jn of Hosur Road -> KH Road -> KR Circle -> Kempegowda Bus Station -> Konappana Agrahara -> Koramangala Krupanidhi College -> Koramangala Kudure Mukha Colony -> Kudlu Gate -> Lakkasandra -> Link Road Central -> MEI Factory -> Madivala -> Maharanis College -> Malleshwaram 13th Cross -> Malleshwaram Circle -> NTTF Peenya -> Nimhans Hospital -> RMC Yard -> SRS Peenya -> Shanthinagara TTMC -> Siemens Electronics City -> Singasandra -> St Johns Hospital -> Subbaiah Circle -> Systems Peenya -> TVS Cross Peenya -> Tata Institute -> Wilson Garden 10th Cross -> Wilson Garden Police Station -> Yeshwanthapura
250-CA,8th Mile Dasarahalli -> Ananda Rao Circle -> Bagalagunte -> Bone Mill -> CMTI -> Goraguntepalya -> Govardhan Talkies -> Jalahalli Cross -> Kempegowda Bus Station -> Kirloskar Badavane Bagalagunte -> MEI Factory -> Malleshwaram 11th Cross -> Malleshwaram 15th Cross -> Malleshwaram 8th Cross -> Malleshwaram Circle -> RMC Yard -> SRS Peenya -> Sahyadribalaga Layout Bagalagunte -> T Dasarahalli -> Tata Institute -> Widia School 8th Mile
250-M,8th Mile Dasarahalli -> Ananda Rao Circle -> Bagalagunte -> CMTI -> Goraguntepalya -> Govardhan Talkies -> Jalahalli Cross -> Kempegowda Bus Station -> MEI Factory -> MEI Layout Bagalagunte -> Malleshwaram 11th Cross -> Malleshwaram 15th Cross -> Malleshwaram 8th Cross -> Malleshwaram Circle -> RMC Yard -> SRS Peenya -> T Dasarahalli -> Tata Institute -> Widia School 8th Mile
250-I,8th Mile Dasarahalli -> Ananda Rao Circle -> Bagalagunte -> Bone Mill -> CMTI -> Chikka Banavara -> Goraguntepalya -> Govardhan Talkies -> Jalahalli Cross -> Kempegowda Bus Station -> MEI Factory -> Malleshwaram 11th Cross -> Malleshwaram 15th Cross -> Malleshwaram 8th Cross -> Malleshwaram Circle -> RMC Yard -> SRS Peenya -> T Dasarahalli -> Tata Institute -> Widia School 8th Mile
250-S,8th Mile Dasarahalli -> Bagalagunte -> Bone Mill -> CMTI -> Geleyara Balaga Chikkabanavara -> Goraguntepalya -> Govardhan Talkies -> Jalahalli Cross -> Kempegowda Bus Station -> MEI Factory -> Malleshwaram 11th Cross -> Malleshwaram 15th Cross -> Malleshwaram 8th Cross -> Malleshwaram Circle -> RMC Yard -> SRS Peenya -> T Dasarahalli -> Tata Institute -> Widia School 8th Mile
250-D,8th Mile Dasarahalli -> Ananda Rao Circle -> Bagalagunte -> Bone Mill -> CMTI -> Chikka Banavara -> Ganigarahalli -> Goraguntepalya -> Govardhan Talkies -> Jalahalli Cross -> Kempegowda Bus Station -> MEI Factory -> Malleshwaram 11th Cross -> Malleshwaram 15th Cross -> Malleshwaram 8th Cross -> Malleshwaram Circle -> RMC Yard -> SRS Peenya -> T Dasarahalli -> Tata Institute -> Widia School 8th Mile
252-D,Ananda Rao Circle -> CMTI -> Goraguntepalya -> Govardhan Talkies -> Jalahalli Cross -> Kempegowda Bus Station -> MEI Factory -> Malleshwaram 11th Cross -> Malleshwaram 15th Cross -> Malleshwaram 8th Cross -> Malleshwaram Circle -> RMC Yard -> Rajani Farm Rajgopalanagara -> SRS Peenya -> Systems Peenya -> TVS Cross Peenya -> Tata Institute
YTTMC-RJNF,CMTI -> Goraguntepalya -> Govardhan Talkies -> Jalahalli Cross -> MEI Factory -> RMC Yard -> Rajani Farm Rajgopalanagara -> SRS Peenya -> Systems Peenya -> TVS Cross Peenya
250-F,8th Mile Dasarahalli -> Ananda Rao Circle -> Bagalagunte -> Bone Mill -> CMTI -> Chikka Banavara -> Corporation -> Goraguntepalya -> Govardhan Talkies -> Jalahalli Cross -> KR Market -> Kempegowda Bus Station -> Kere Guddadahalli -> MEI Factory -> Malleshwaram 11th Cross -> Malleshwaram 15th Cross -> Malleshwaram 8th Cross -> Malleshwaram Circle -> Mysore Bank -> RMC Yard -> SRS Peenya -> Somashettyhalli -> T Dasarahalli -> Tata Institute -> Town Hall -> Widia School 8th Mile
VSD-GBL,8th Mile Dasarahalli -> Bagalagunte -> Bone Mill -> CMTI -> Geleyara Balaga Chikkabanavara -> Goraguntepalya -> Govardhan Talkies -> Jalahalli Cross -> MEI Factory -> Malleshwaram 11th Cross -> Malleshwaram 15th Cross -> Malleshwaram 8th Cross -> Malleshwaram Circle -> RC College -> RMC Yard -> SRS Peenya -> Sheshadripuram Swastik -> Shivananda Store -> Swastik Sheshadripuram College -> T Dasarahalli -> Tata Institute -> Vidhana Soudha -> Widia School 8th Mile
PSS-MTNT,CMTI -> Chowdeshwari Bus Stand JP Park -> Govardhan Talkies -> Jalahalli Cross -> MEI Factory -> MS Ramaiah College -> Mattikere -> NTTF Peenya -> RMC Yard -> SRS Peenya -> Systems Peenya -> TVS Cross Peenya -> Yeshwanthapura
252-L,Bandi Reddy Circle -> Brundavana Peenya 2nd Stage -> CMTI -> Devaiah Park -> Goraguntepalya -> Govardhan Talkies -> Jalahalli Cross -> MEI Factory -> Malleshwaram 11th Cross -> Malleshwaram 15th Cross -> Malleshwaram 8th Cross -> Malleshwaram Circle -> NTTF Peenya -> Peenya 14th Cross -> Peenya Rolling Mill -> RMC Yard -> SRS Peenya -> Systems Peenya -> TVS Cross Peenya -> Tata Institute
250-AB,8th Mile Dasarahalli -> Bagalagunte -> Bone Mill -> CMTI -> Chikka Banavara -> Goraguntepalya -> Govardhan Talkies -> Jalahalli Cross -> Kempegowda Bus Station -> MEI Factory -> Malleshwaram 11th Cross -> Malleshwaram 15th Cross -> Malleshwaram 8th Cross -> Malleshwaram Circle -> Medarahalli Railway Gate Chikkabanavara -> RMC Yard -> SRS Peenya -> T Dasarahalli -> Tata Institute -> Widia School 8th Mile
250-AC,8th Mile Dasarahalli -> Bagalagunte -> Bone Mill -> CMTI -> Chikka Banavara -> Goraguntepalya -> Govardhan Talkies -> Jalahalli Cross -> MEI Factory -> RMC Yard -> SRS Peenya -> T Dasarahalli -> Widia School 8th Mile
V-250ZA,8th Mile Dasarahalli -> Ananda Rao Circle -> Bagalagunte -> Bone Mill -> CMTI -> Chikka Banavara -> Goraguntepalya -> Govardhan Talkies -> Jalahalli Cross -> Kempegowda Bus Station -> MEI Factory -> Malleshwaram 11th Cross -> Malleshwaram 15th Cross -> Malleshwaram 8th Cross -> Malleshwaram Circle -> RMC Yard -> SRS Peenya -> T Dasarahalli -> Tata Institute -> Widia School 8th Mile
252 KMT-PSS,Ananda Rao Circle -> Brundavana Peenya 2nd Stage -> CMTI -> Corporation -> Goraguntepalya -> Govardhan Talkies -> Jalahalli Cross -> KR Market -> Kempegowda Bus Station -> MEI Factory -> Malleshwaram 11th Cross -> Malleshwaram 15th Cross -> Malleshwaram 8th Cross -> Malleshwaram Circle -> Mantri Mall -> Mysore Bank -> NTTF Peenya -> Peenya 14th Cross -> Peenya Rolling Mill -> RMC Yard -> SRS Peenya -> Systems Peenya -> TVS Cross Peenya -> Tata Institute -> Town Hall
250-AA,8th Mile Dasarahalli -> Bagalagunte -> Bamboo Bazaar -> Bone Mill -> CMTI -> CSI Hospital -> Chikka Banavara -> Coles Road -> Corporation -> Cox Town -> Goraguntepalya -> Govardhan Talkies -> HK Degree College -> Indian Express -> Jalahalli Cross -> Jeevanahalli -> KR Market -> Kempegowda Bus Station -> MEI Factory -> Maharanis College -> Malleshwaram 11th Cross -> Malleshwaram 15th Cross -> Malleshwaram 8th Cross -> Malleshwaram Circle -> Mysore Bank -> Pankaj Dairy -> RMC Yard -> SRS Peenya -> Sindhi Colony -> T Dasarahalli -> Tata Institute -> Town Hall -> Vidhana Soudha -> Widia School 8th Mile
356-JE,Ananda Rao Circle -> Bengaluru Dairy Circle -> Bommanahalli -> CMTI -> Corporation -> Electronic City -> Govardhan Talkies -> Hosa Road -> Jalahalli Cross -> Jn of Hosur Road -> KH Road -> KR Circle -> Konappana Agrahara -> Koramangala Krupanidhi College -> Koramangala Kudure Mukha Colony -> Kudlu Gate -> Lakkasandra -> Link Road Central -> MEI Factory -> Madivala -> Maharanis College -> Malleshwaram 13th Cross -> Malleshwaram Circle -> Nimhans Hospital -> RMC Yard -> SRS Peenya -> Shanthinagara TTMC -> Singasandra -> St Johns Hospital -> Subbaiah Circle -> Swastik Sheshadripuram College -> Tata Institute -> Wilson Garden 10th Cross -> Wilson Garden Police Station -> Yeshwanthapura
BIG B-3,Adugodi -> Anepalya -> Anepalya Pothalappa Garden -> Bommanahalli -> Brundavana Peenya 2nd Stage -> CMTI -> CPRI -> Cunningham Road -> Electronic City Wipro Gate -> Elgin Floor Mill -> Garivebhavi Palya -> Goraguntepalya -> Govardhan Talkies -> Hosa Road -> Indian Express -> Infosys Parking Lot Electronic City -> Jalahalli Cross -> Jayamahal -> Jn of Hosur Road -> Johnson Market -> Koramangala Forum Mall -> Kudlu Gate -> MEI Factory -> Madivala -> Maniksha Parade Ground -> Mayohall -> Mekhri Circle -> Munireddy Palya JC Nagara -> NTTF Peenya -> PESIT College -> Peenya 14th Cross -> Peenya Rolling Mill -> RMC Yard -> Rupena Agrahara -> SRS Peenya -> Shivajinagara Bus Station -> Singasandra -> Systems Peenya -> TV Tower -> TVS Cross Peenya -> Tata Institute -> Velankani Drive Electronic City -> Wipro Gate Shikaripalya Cross
250-W,8th Mile Dasarahalli -> Ananda Rao Circle -> Bagalagunte -> Bone Mill -> CMTI -> Chikka Banavara -> Goraguntepalya -> Govardhan Talkies -> Jalahalli Cross -> Kempegowda Bus Station -> MEI Factory -> Malleshwaram 11th Cross -> Malleshwaram 15th Cross -> Malleshwaram 8th Cross -> Malleshwaram Circle -> RMC Yard -> SRS Peenya -> T Dasarahalli -> Tata Institute -> Widia School 8th Mile
KMT-PSB,Ananda Rao Circle -> CMTI -> Corporation -> Goraguntepalya -> Govardhan Talkies -> KR Market -> Kempegowda Bus Station -> MEI Factory -> Malleshwaram 11th Cross -> Malleshwaram 15th Cross -> Malleshwaram 8th Cross -> Malleshwaram Circle -> Mysore Bank -> RMC Yard -> SRS Peenya -> Tata Institute -> Town Hall
252-A,Brundavana Peenya 2nd Stage -> CMTI -> CPRI -> Cunningham Road -> Goraguntepalya -> Govardhan Talkies -> Indian Express -> JC Nagara -> Jalahalli Cross -> Jayamahal -> MEI Factory -> Mekhri Circle -> Munireddy Palya JC Nagara -> NTTF Peenya -> Peenya 14th Cross -> Peenya Rolling Mill -> RMC Yard -> SRS Peenya -> Shivajinagara Bus Station -> Systems Peenya -> TV Tower -> TVS Cross Peenya -> Tata Institute
CJP-PSS,Brundavana Peenya 2nd Stage -> CMTI -> Chowdeshwari Bus Stand JP Park -> Divanarapalya Mattikere -> Goraguntepalya -> Govardhan Talkies -> Jalahalli Cross -> MEI Factory -> MS Ramaiah College -> Mattikere -> NTTF Peenya -> Peenya 14th Cross -> Peenya Rolling Mill -> RMC Yard -> SRS Peenya -> Systems Peenya -> TVS Cross Peenya -> Yeshwanthapura Ayyappa Temple -> Yeshwanthpura Tollgate
250-C,8th Mile Dasarahalli -> Ananda Rao Circle -> Bagalagunte -> Bagalagunte Village -> CMTI -> Goraguntepalya -> Govardhan Talkies -> Jalahalli Cross -> Kempegowda Bus Station -> MEI Factory -> Malleshwaram 11th Cross -> Malleshwaram 15th Cross -> Malleshwaram 8th Cross -> Malleshwaram Circle -> RMC Yard -> SRS Peenya -> T Dasarahalli -> Tata Institute -> Widia School 8th Mile
KBS-VSD-GBL,8th Mile Dasarahalli -> Bagalagunte -> Bone Mill -> CMTI -> Geleyara Balaga Chikkabanavara -> Goraguntepalya -> Govardhan Talkies -> Jalahalli Cross -> Kempegowda Bus Station -> MEI Factory -> Maharanis College -> Malleshwaram 11th Cross -> Malleshwaram 15th Cross -> Malleshwaram 8th Cross -> Malleshwaram Circle -> RC College -> RMC Yard -> SRS Peenya -> Sheshadripuram Swastik -> Shivananda Store -> Swastik Sheshadripuram College -> T Dasarahalli -> Tata Institute -> Telephone Exchange AGO -> Widia School 8th Mile
GBL-VSD-KBS,Bagalagunte -> Basaveshwara Circle Sophiya School -> Bashyam Circle Sadashivanagara -> Bone Mill -> CMTI -> Govardhan Talkies -> Jalahalli Cross -> Kempegowda Bus Station -> MEI Factory -> Maharanis College -> RMC Yard -> Rajmahal Guttahalli -> SRS Peenya -> Sapthagiri College Hesaraghatta Road -> Sapthagiri Hospital Hesaraghatta Road -> T Dasarahalli -> Tata Institute -> Telephone Exchange AGO -> Vidhana Soudha -> Yeshwanthapura
VSD-RMG-PSS,Basaveshwara Circle Sophiya School -> Brundavana Peenya 2nd Stage -> CMTI -> CPRI -> Goraguntepalya -> Govardhan Talkies -> Jalahalli Cross -> MEI Factory -> Mekhri Circle -> NTTF Peenya -> Palace Ground -> Peenya 14th Cross -> Peenya Rolling Mill -> RMC Yard -> SRS Peenya -> Systems Peenya -> TVS Cross Peenya -> Tata Institute -> Telephone Exchange AGO -> Vidhana Soudha
250-L,Ananda Rao Circle -> CMTI -> Goraguntepalya -> Govardhan Talkies -> Jalahalli Cross -> Kempegowda Bus Station -> MEI Factory -> Mallasandra Health  Center -> Malleshwaram 11th Cross -> Malleshwaram 15th Cross -> Malleshwaram 8th Cross -> Malleshwaram Circle -> RMC Yard -> Ravindranagara -> SRS Peenya -> Tata Institute
JHC-VSD-SBS,CMTI -> GPO -> Govardhan Talkies -> Indian Express -> Jalahalli Cross -> Link Road Central -> MEI Factory -> Maharanis College -> Malleshwaram 13th Cross -> Malleshwaram Circle -> RC College -> RMC Yard -> SRS Peenya -> Shivajinagara Bus Station -> Shivananda Store -> Swastik Sheshadripuram College -> Tata Institute -> Telephone Exchange AGO -> Yeshwanthapura
252 KBS-KGVP,Ananda Rao Circle -> CMTI -> Goraguntepalya -> Govardhan Talkies -> Jalahalli Cross -> Kempegowda Bus Station -> Kongovi PVT LTD Peenya -> MEI Factory -> Malleshwaram 11th Cross -> Malleshwaram 15th Cross -> Malleshwaram 8th Cross -> Malleshwaram Circle -> NTTF Peenya -> Peenya Rolling Mill -> RMC Yard -> SRS Peenya -> Systems Peenya -> TVS Cross Peenya -> Tata Institute
PTCAP-JHC,CMTI -> Jalahalli Cross -> SRS Peenya
YPROLD-CKB,8th Mile Dasarahalli -> Bagalagunte -> Bone Mill -> CMTI -> Chikka Banavara -> Goraguntepalya -> Govardhan Talkies -> Jalahalli Cross -> MEI Factory -> RMC Yard -> SRS Peenya -> T Dasarahalli -> Widia School 8th Mile -> Yashawanthapura Market
YTTMC-JHC-KGGC,8th Mile Dasarahalli -> Bagalagunte -> Bone Mill -> CMTI -> Chikka Banavara -> Dasappanapalya -> Gangadhara Kalyana Mantapa -> Goraguntepalya -> Govardhan Talkies -> Jalahalli Cross -> MEI Factory -> RMC Yard -> SRS Peenya -> T Dasarahalli -> Widia School 8th Mile
250-N,8th Mile Dasarahalli -> Bagalagunte -> CMTI -> CPRI -> Cunningham Road -> Goraguntepalya -> Govardhan Talkies -> Indian Express -> Jalahalli Cross -> Jayamahal -> MEI Factory -> MEI Layout Bagalagunte -> Mekhri Circle -> Munireddy Palya JC Nagara -> RMC Yard -> SRS Peenya -> Shivajinagara Bus Station -> T Dasarahalli -> TV Tower -> Tata Institute -> The Embassy Cunning Ham Road -> Widia School 8th Mile
252 KBS-JHC,CMTI -> Goraguntepalya -> Govardhan Talkies -> Jalahalli Cross -> Kempegowda Bus Station -> MEI Factory -> Malleshwaram 11th Cross -> Malleshwaram 15th Cross -> Malleshwaram 8th Cross -> Malleshwaram Circle -> RMC Yard -> SRS Peenya -> Tata Institute
252-A SBS-KGVP,CMTI -> CPRI -> Cunningham Road -> Goraguntepalya -> Govardhan Talkies -> Indian Express -> JC Nagara -> Jalahalli Cross -> Jayamahal -> Kongovi PVT LTD Peenya -> MEI Factory -> Mekhri Circle -> Munireddy Palya JC Nagara -> NTTF Peenya -> Peenya Rolling Mill -> RMC Yard -> SRS Peenya -> Shivajinagara Bus Station -> Systems Peenya -> TV Tower -> TVS Cross Peenya -> Tata Institute
252 YTTMC-SMS,Ashoka Pillar -> BTM Layout 16th Main -> BTM Layout Water Tank -> CMTI -> Carmel Convent Jayanagara -> Corporation -> Goraguntepalya -> Govardhan Talkies -> Jalahalli Cross -> Jayanagara Church -> Jayanagara East End -> Jayanagara Pump House -> Jayanagara TTMC -> KR Circle -> Kempegowda Bus Station -> Lalbagh -> Lalbagh West Gate -> MEI Factory -> Maharanis College -> Poornima Talkies Lalbagh Main Road -> RMC Yard -> RV Teachers College -> Rani Saraladevi High School -> SMS India PVT LTD Peenya 2nd Stage -> SRS Peenya -> Sanjay Gandhi Hospital Jayanagara
252 YTTMC-PSS,Brundavana Peenya 2nd Stage -> CMTI -> Goraguntepalya -> Govardhan Talkies -> Jalahalli Cross -> MEI Factory -> NTTF Peenya -> Peenya 14th Cross -> Peenya Rolling Mill -> RMC Yard -> SRS Peenya -> Systems Peenya -> TVS Cross Peenya
K1,Basaveshwara Satellite Bus Station Peenya -> CMTI -> CPRI -> CSI Hospital -> Cantonment Railway Station -> Central Silk Board -> Commercial Street -> Dell Domlur -> Dhoopanahalli -> Dickenson Road -> Domlur Flyover -> Electric B Station -> Govardhan Talkies -> Halasuru -> Halasuru Police Station -> Hasanath College -> Indian Express -> Indiranagara 100ft Road -> Indiranagara Double Road -> Indiranagara New Horizon School -> Indiranagara Police Station -> Jayamahal -> Jn of New Bridge -> Koramangala Krupanidhi College -> Koramangala Kudure Mukha Colony -> Lakshmipuram -> Lido Talkies -> MEI Factory -> Madivala -> Mekhri Circle -> Military Bridge -> RMC Yard -> SRS Peenya -> Shivajinagara Bus Station -> TV Tower -> Tata Institute -> Yeshwanthapura
252A SBS-PSBBS,CMTI -> CPRI -> Cunningham Road -> Goraguntepalya -> Govardhan Talkies -> Indian Express -> JC Nagara -> Jayamahal -> MEI Factory -> Mekhri Circle -> Munireddy Palya JC Nagara -> RMC Yard -> SRS Peenya -> Shivajinagara Bus Station -> TV Tower -> Tata Institute
258 YTTMC-PSBS,CMTI -> Goraguntepalya -> Govardhan Talkies -> MEI Factory -> RMC Yard -> SRS Peenya
K-1 PSBS-DBS,Basaveshwara Satellite Bus Station Peenya -> CMTI -> CPRI -> CSI Hospital -> Cantonment Railway Station -> Commercial Street -> Dhoopanahalli -> Dickenson Road -> Domlur TTMC -> Electric B Station -> Govardhan Talkies -> Halasuru -> Halasuru Police Station -> Hasanath College -> Indian Express -> Indiranagara 100ft Road -> Indiranagara Double Road -> Indiranagara New Horizon School -> Indiranagara Police Station -> Jayamahal -> Lakshmipuram -> Lido Talkies -> MEI Factory -> Mekhri Circle -> RMC Yard -> SRS Peenya -> Shivajinagara Bus Station -> TV Tower -> Tata Institute -> Yeshwanthapura
